tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Mon May 08 15:54:03 +0000 2023,1096990884,lambe_media,"Mencari peluang investasi terbaru? Tidak perlu mencari lagi
@SeaPad_defi . Sebagai platform launchpad @SuiNetwork

Mereka memiliki mitra yang kuat🔥

@SuiEcosystem
@martian_wallet
@TypusFinance
@CetusProtocol . Nantikan penjualan token SeaPad yang akan datang!

#SUI #SeaPad https://t.co/6Y2YAtWPOy",https://twitter.com/lambe_media,Lambe IDN | BINANCE LIVE,https://twitter.com/lambe_media/status/1655601968319180800,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Thu May 11 01:00:47 +0000 2023,1303593561363894272,GustiMberkahi,"Pemerintah Provinsi Fujian Tiongkok, berkomitmen menanamkan investasi pembangunan pabrik di Kab Batang, semoga bisa menyerap tenaga kerja

Gubernur Jateng @ganjarpranowo  menyambut baik hal tersebut, mengingat kerja sama itu akan membuka luas lapangan pekerjaan

#GANTARI https://t.co/6YqPBaQ6pS",https://twitter.com/GustiMberkahi,M O R 🤠 🇮🇩,https://twitter.com/GustiMberkahi/status/1656464333105414144,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sat May 06 11:03:01 +0000 2023,452692892,abun___,petani itu jenis investasi high risk low return https://t.co/GJj06vGFmP,https://twitter.com/abun___,asal bunyi,https://twitter.com/abun___/status/1654803951446011904,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 12:07:00 +0000 2023,1546830115828486144,Ivaindirra,"Kerennya-Prabowo08 benar2 tahu, gmana cara investasi persatuan yg buat semangat masyarakat utk sejahterain NKRI ini.

#YessPrabowo08AdaDiMusra
JadiPilihan Pemilih Jokowi https://t.co/WjnF6nDur2",https://twitter.com/Ivaindirra,Iva indira,https://twitter.com/Ivaindirra/status/1657719155423080448,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sun May 14 10:27:58 +0000 2023,184469509,heheherrrr,"Tinggal memilih aja mau bertahan atau pergi, yuk bisa yuk tidak investasi bodong 😂",https://twitter.com/heheherrrr,nana,https://twitter.com/heheherrrr/status/1657694235825700866,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Sat May 13 01:15:18 +0000 2023,1216290368397836290,abi_sasaLL,"Menteri BUMN @erickthohir memastikan pemerintah Qatar menaruh minat besar untuk meningkatkan jumlah investasi dgn menggandeng perusahaan BUMN untuk mengembangkan bisnis strategis.

Ini baru calon pemimpin bangsa yg pokus untuk kemajuan bangsa kedepan 👍
#GueBarengErickThohir https://t.co/fDfL0jwerw",https://twitter.com/abi_sasaLL,abi sasal,https://twitter.com/abi_sasaLL/status/1657192763740372992,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Mon May 08 05:33:29 +0000 2023,1627490747607048193,RaspoSanjaya,UU CIPTA KERJA PERBAIKI IKLIM INVESTASI https://t.co/6MA42nh8gW,https://twitter.com/RaspoSanjaya,Raspo Sanjaya,https://twitter.com/RaspoSanjaya/status/1655445797344006145,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 14:18:48 +0000 2023,1398293496885170180,naurafaranisaa,"Realisasi investasi IKN Nusantara di bulan Mei
#IbuKotaNegara
#IKNNusantara
#PindahIbuKota https://t.co/bzGkqRbJk5",https://twitter.com/naurafaranisaa,Naura Faranisa,https://twitter.com/naurafaranisaa/status/1657027547291430913,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Mon May 08 16:17:36 +0000 2023,1398486007826182145,RatuMedia20,"Keberhasilan Ganjar Pranowo dalam mengundang investasi masuk ke Jateng membuat penyerapan tenaga kerja semakin naik dari tahun ke tahun
#GanjarPranowo2024
#PolitikIdentitas
#PemiluIndonesia https://t.co/tH3CXOe12B",https://twitter.com/RatuMedia20,Ratu Media,https://twitter.com/RatuMedia20/status/1655607896640741377,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
Fri May 12 05:58:34 +0000 2023,4873330002,Babe_babegalak,"Sedih memang sementara BTID yg begitu mewah dengan investasi hingga Rp 104 Triliun sementara masyarakat sekitar terabaikan dan tetap hidup dalam lingkungan Kumuh...jadi buat apa membangun bila masyarakat sekitar hanya jadi penonton?
#KEKBumiDanLangit
Masyarakat Bali dapat apa ? https://t.co/OroW70KJJp",https://twitter.com/Babe_babegalak,Babe Galak lho,https://twitter.com/Babe_babegalak/status/1656901662576095232,2023-05-14T12:14:40.790Z,https://twitter.com/search?q=investasi%20lang%3Aid&src=typed_query
